date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,year,month,day,dayofweek,is_weekend,season_Monsoon,season_Post-Monsoon,season_Summer,season_Winter
2023-10-16,-0.3907860307931615,-0.27638626649316106,-0.272726902321641,0.1654503191382238,-0.6932400399743803,-0.526305509827412,0.033679284467962416,-0.6820602092455927,0.06877524473291942,89.29166666666667,2023,10,16,0,0,0,1,0,0
2023-10-17,-0.04564408029733991,0.048990020960140004,0.31250314748601965,1.0106347588023863,-0.3818933936996682,-1.0422474059242193,-0.1496714899575031,-0.6880939697712583,0.03175377168368728,85.70833333333333,2023,10,17,1,0,0,1,0,0
2023-10-18,0.38173872559006344,0.2358975220147645,1.138209545032828,1.0225627650073243,-0.2957300194980617,-0.761264964857414,-0.7192292147685242,-0.18880028627243636,0.039158066293533626,107.25,2023,10,18,2,0,0,1,0,0
2023-10-19,0.6417507976711787,0.3746199142493365,0.4970102213708349,0.9731467393011537,0.09888375310593384,0.016281272922282125,-0.43054927205608884,-0.059074434970627546,0.09839242317230443,88.58333333333333,2023,10,19,3,0,0,1,0,0
2023-10-20,1.1841167198788973,0.881831586039361,1.3333571652777827,1.577044653448289,0.2632458198602592,-0.17265519607091487,-0.16527581118520215,-0.30344173626008125,-0.1459492989526255,122.79166666666669,2023,10,20,4,0,0,1,0,0
2023-10-21,1.339738760057817,0.9226621256184585,1.3097351523582736,1.449244586966813,0.2893120507111654,0.13497213164877714,-0.11261122704171765,-0.11790360009586638,-0.17186433008708835,121.33333333333331,2023,10,21,5,1,0,1,0,0
2023-10-22,1.480723083586244,0.9954470005203271,1.3588944765421171,1.4056221642744686,0.11988155018027524,0.22944036614537563,0.09219548907183475,-0.04097315339363098,-0.2681201600150905,132.20833333333334,2023,10,22,6,1,0,1,0,0
2023-10-23,0.4035026990309268,0.19151650073313742,0.5150991501830717,0.5757737325880837,-0.14150482029686684,0.4547107714834182,-0.13991878919019113,-0.28684889481450104,-0.3606738426381705,111.16666666666669,2023,10,23,0,0,0,1,0,0
2023-10-24,0.6802711046461588,0.2589756530812104,0.6747073455851608,0.7560570263712864,-0.05244519822293766,0.23670715341434476,-0.4461535932837879,0.22149542947281922,-0.2903330438446303,98.58333333333331,2023,10,24,1,0,0,1,0,0
2023-10-25,1.3969414159156623,0.8856356735777862,1.2758982149330307,1.4683293968947133,0.7114401781022285,0.8519618088537304,-0.5514827615707574,0.21244478868432093,-0.13854500434277917,116.41666666666669,2023,10,25,2,0,0,1,0,0
2023-10-26,2.0723949987219363,1.4225192281675283,2.071172649889841,2.56843236916726,1.2371091669288352,0.1809951176855818,-0.8343110838228058,0.31501871762063477,0.03175377168368728,146.91666666666666,2023,10,26,3,0,0,1,0,0
2023-10-27,1.2470974217829902,0.95360203759765,1.9092235342885209,2.6072835893776287,1.413056225172452,0.6000465168628005,-1.0937329242333054,-0.1541061632498595,0.11320101239199752,138.45833333333334,2023,10,27,4,0,0,1,0,0
2023-10-28,0.16140256969317768,0.1945597707638774,1.1986478483584193,1.1357084238655912,0.10540031081866032,0.5225341193271302,-0.8694208065851289,-0.5870284809663608,-0.20518365583139633,110.91666666666669,2023,10,28,5,1,0,1,0,0
2023-10-29,0.44028959219203306,0.31527614864990344,0.6770482657843916,0.8433018717559737,0.1162612403398712,0.8640731209686787,-0.4364008925164759,-0.46937015071588306,-0.15335359356247186,98.58333333333331,2023,10,29,6,1,0,1,0,0
2023-10-30,0.7991062516639725,0.5790262179807167,0.9709401562514385,0.8228538611189375,-0.0017608604572869311,0.36266479940980967,-0.1496714899575031,-0.44674354874463734,-0.2940351911495533,111.04166666666669,2023,10,30,0,0,0,1,0,0
2023-10-31,0.988626161980874,0.7053219242564327,0.8021810909796296,0.4524040684112988,-0.02999927721243488,0.48135565813630554,0.20727735812611647,-0.4965220730813779,-0.4421210833464807,117.16666666666669,2023,10,31,1,0,0,1,0,0
2023-11-01,0.7696382168281121,0.5194288465453885,0.5304215369416723,0.39310483756389347,-0.06258206577606787,0.8713399082376477,-0.11261122704171765,-0.5070811540012926,-0.43471678873663394,107.45833333333331,2023,11,1,2,0,0,1,0,0
2023-11-02,1.7199341899008698,1.2442343255333348,1.1556600410634568,0.8276250636009124,0.250212704434806,0.7211596380122863,0.3769743514773451,-0.44523510861322096,-0.5161640294449445,124.625,2023,11,2,3,0,0,1,0,0
2023-11-03,2.4681911528898564,1.755757296533575,1.4380601414615533,0.9104395066809089,0.30306922810469905,0.9900307669641436,0.9309277550606673,-0.3532202605968218,-0.6494413324221793,148.45833333333334,2023,11,3,4,0,0,1,0,0
2023-11-04,2.319117564896684,1.7068113702058374,1.4014566619826745,1.1220764167742339,0.15753277252047304,0.7671826240490902,0.6949123964917168,-0.43316758756188994,-0.6383348905074095,153.125,2023,11,4,5,1,0,1,0,0
2023-11-05,1.5435111839554614,1.1564867063136604,1.055000472496539,0.717887406515485,-0.05244519822293766,0.5927797295938314,0.6578521335759311,-0.5297077559725383,-0.6309305958975633,140.83333333333334,2023,11,5,6,1,0,1,0,0
2023-11-06,1.7962043977113304,1.373319696003896,1.425717107683792,1.1612684371618864,0.28858798874308444,-0.0030968264616360675,0.7631813018629006,-0.5251824355782891,-0.9530174114258808,138.625,2023,11,6,0,0,0,1,0,0
2023-11-07,2.1623399155085146,1.6492428454576697,1.5365916007564429,1.2359036759870685,0.4464334977846824,0.4571330339064082,0.9699385581299153,-0.5251824355782891,-0.7753143407895676,149.41666666666666,2023,11,7,1,0,0,1,0,0
2023-11-08,2.4922663447492206,1.8858570903477165,1.761958372664193,1.528991828451254,0.363166371455399,0.14223891891774623,1.1064763688722834,-0.5236739954468728,-0.7827186353994144,152.625,2023,11,8,2,0,0,1,0,0
2023-11-09,2.2328320772727297,1.6910878083803467,1.7706836206795074,1.4799166029223672,0.3371001406044931,0.04050389715217863,1.0811193468772722,-0.5613849987322822,-0.8789744653274165,152.20833333333334,2023,11,9,3,0,0,1,0,0
